Complexity metrics,sexta, 7 nov. 2025 19:17:00 WET
Method,CogC,ev(G),iv(G),v(G)
mindustry.entities.comp.SegmentComp.update(),7,1,5,7
"mindustry.entities.comp.SegmentComp.updateSegment(Segmentc, Segmentc, int)",2,1,3,3
mindustry.entities.comp.ShieldComp.damage(float),1,1,1,2
"mindustry.entities.comp.ShieldComp.damagePierce(float, boolean)",1,1,1,2
mindustry.entities.comp.ShieldComp.rawDamage(float),10,1,4,9
mindustry.entities.comp.ShieldComp.update(),1,1,1,2
mindustry.entities.comp.ShielderComp.absorb(),0,1,1,1
mindustry.entities.comp.StatusComp.apply(StatusEffect),0,1,1,1
"mindustry.entities.comp.StatusComp.apply(StatusEffect, float)",11,6,8,10
mindustry.entities.comp.StatusComp.applyDynamicStatus(),3,3,2,3
mindustry.entities.comp.StatusComp.clearStatuses(),0,1,1,1
mindustry.entities.comp.StatusComp.draw(),1,1,2,2
mindustry.entities.comp.StatusComp.getDuration(StatusEffect),1,1,1,2
mindustry.entities.comp.StatusComp.hasEffect(StatusEffect),0,1,1,1
mindustry.entities.comp.StatusComp.isBoss(),0,1,1,1
mindustry.entities.comp.StatusComp.isImmune(StatusEffect),0,1,1,1
mindustry.entities.comp.StatusComp.statusArmor(float),0,1,1,1
mindustry.entities.comp.StatusComp.statusBits(),0,1,1,1
mindustry.entities.comp.StatusComp.statusBuildSpeed(float),0,1,1,1
mindustry.entities.comp.StatusComp.statusColor(),4,2,2,4
mindustry.entities.comp.StatusComp.statusDamageMultiplier(float),0,1,1,1
mindustry.entities.comp.StatusComp.statusDrag(float),1,1,1,2
mindustry.entities.comp.StatusComp.statusMaxHealth(float),0,1,1,1
mindustry.entities.comp.StatusComp.statusReloadMultiplier(float),0,1,1,1
mindustry.entities.comp.StatusComp.statusSpeed(float),0,1,1,1
mindustry.entities.comp.StatusComp.unapply(StatusEffect),2,2,2,2
mindustry.entities.comp.StatusComp.update(),20,2,6,11
mindustry.entities.comp.SyncComp.afterSync(),0,1,1,1
mindustry.entities.comp.SyncComp.handleSyncHidden(),0,1,1,1
mindustry.entities.comp.SyncComp.interpolate(),0,1,1,1
mindustry.entities.comp.SyncComp.isSyncHidden(Player),0,1,1,1
mindustry.entities.comp.SyncComp.readSync(Reads),0,1,1,1
mindustry.entities.comp.SyncComp.readSyncManual(FloatBuffer),0,1,1,1
mindustry.entities.comp.SyncComp.remove(),1,1,2,2
mindustry.entities.comp.SyncComp.snapInterpolation(),0,1,1,1
mindustry.entities.comp.SyncComp.snapSync(),0,1,1,1
mindustry.entities.comp.SyncComp.update(),3,1,4,4
mindustry.entities.comp.SyncComp.writeSync(Writes),0,1,1,1
mindustry.entities.comp.SyncComp.writeSyncManual(FloatBuffer),0,1,1,1
mindustry.entities.comp.TankComp.approach(Vec2),1,1,1,2
mindustry.entities.comp.TankComp.drownFloor(),1,1,1,2
mindustry.entities.comp.TankComp.floorSpeedMultiplier(),2,1,3,3
"mindustry.entities.comp.TankComp.moveAt(Vec2, float)",1,1,1,2
mindustry.entities.comp.TankComp.update(),36,1,23,27
mindustry.entities.comp.TeamComp.cheating(),0,1,1,1
mindustry.entities.comp.TeamComp.closestCore(),0,1,1,1
mindustry.entities.comp.TeamComp.closestEnemyCore(),0,1,1,1
mindustry.entities.comp.TeamComp.core(),0,1,1,1
mindustry.entities.comp.TeamComp.inFogTo(Team),1,1,2,2
mindustry.entities.comp.TimedComp.fin(),0,1,1,1
mindustry.entities.comp.TimedComp.update(),1,1,2,2
mindustry.entities.comp.TimedKillComp.fin(),0,1,1,1
mindustry.entities.comp.TimedKillComp.update(),1,1,2,2
"mindustry.entities.comp.TimerComp.timer(int, float)",1,2,1,2
mindustry.entities.comp.UnderwaterMoveComp.collisionLayer(),0,1,1,1
mindustry.entities.comp.UnderwaterMoveComp.draw(),0,1,1,1
mindustry.entities.comp.UnderwaterMoveComp.hittable(),1,1,2,2
mindustry.entities.comp.UnderwaterMoveComp.targetable(Team),1,1,2,2
mindustry.entities.comp.UnitComp.add(),2,1,6,6
mindustry.entities.comp.UnitComp.afterRead(),2,1,3,3
mindustry.entities.comp.UnitComp.afterReadAll(),0,1,1,1
mindustry.entities.comp.UnitComp.afterSync(),0,1,1,1
mindustry.entities.comp.UnitComp.aimLook(Position),0,1,1,1
"mindustry.entities.comp.UnitComp.aimLook(float, float)",0,1,1,1
mindustry.entities.comp.UnitComp.allowCommand(),0,1,1,1
mindustry.entities.comp.UnitComp.approach(Vec2),0,1,1,1
mindustry.entities.comp.UnitComp.bounds(),0,1,1,1
mindustry.entities.comp.UnitComp.canDrown(),1,1,2,2
mindustry.entities.comp.UnitComp.canLand(),2,1,3,3
mindustry.entities.comp.UnitComp.canShoot(),2,1,3,3
mindustry.entities.comp.UnitComp.canTarget(Teamc),3,1,3,4
mindustry.entities.comp.UnitComp.cap(),0,1,1,1
"mindustry.entities.comp.UnitComp.checkTarget(boolean, boolean)",3,1,4,4
mindustry.entities.comp.UnitComp.clipSize(),4,3,3,4
mindustry.entities.comp.UnitComp.collides(Hitboxc),0,1,1,1
"mindustry.entities.comp.UnitComp.collision(Hitboxc, float, float)",1,1,2,2
mindustry.entities.comp.UnitComp.collisionLayer(),4,1,2,4
mindustry.entities.comp.UnitComp.command(),2,2,1,2
mindustry.entities.comp.UnitComp.controller(),0,1,1,1
mindustry.entities.comp.UnitComp.controller(UnitController),1,1,2,2
mindustry.entities.comp.UnitComp.count(),0,1,1,1
mindustry.entities.comp.UnitComp.destroy(),29,2,21,26
mindustry.entities.comp.UnitComp.display(Table),0,1,1,1
mindustry.entities.comp.UnitComp.displayable(),0,1,1,1
mindustry.entities.comp.UnitComp.draw(),0,1,1,1
mindustry.entities.comp.UnitComp.drownFloor(),0,1,1,1
mindustry.entities.comp.UnitComp.floorSpeedMultiplier(),2,1,3,3
mindustry.entities.comp.UnitComp.getControllerName(),3,3,2,4
mindustry.entities.comp.UnitComp.getPlayer(),1,1,1,2
mindustry.entities.comp.UnitComp.handleSyncHidden(),0,1,1,1
mindustry.entities.comp.UnitComp.hasWeapons(),0,1,1,1
mindustry.entities.comp.UnitComp.heal(float),2,1,1,3
mindustry.entities.comp.UnitComp.hittable(),0,1,1,1
mindustry.entities.comp.UnitComp.icon(),0,1,1,1
mindustry.entities.comp.UnitComp.inFogTo(Team),9,5,3,6
mindustry.entities.comp.UnitComp.inRange(Position),0,1,1,1
mindustry.entities.comp.UnitComp.isAI(),0,1,1,1
mindustry.entities.comp.UnitComp.isCommandable(),0,1,1,1
mindustry.entities.comp.UnitComp.isEnemy(),0,1,1,1
mindustry.entities.comp.UnitComp.isFlying(),0,1,1,1
mindustry.entities.comp.UnitComp.isGrounded(),0,1,1,1
mindustry.entities.comp.UnitComp.isMissile(),0,1,1,1
"mindustry.entities.comp.UnitComp.isPathImpassable(int, int)",1,1,3,3
mindustry.entities.comp.UnitComp.isPlayer(),0,1,1,1
mindustry.entities.comp.UnitComp.isSyncHidden(Player),1,1,2,2
mindustry.entities.comp.UnitComp.itemCapacity(),0,1,1,1
mindustry.entities.comp.UnitComp.kill(),2,2,3,4
mindustry.entities.comp.UnitComp.killable(),0,1,1,1
mindustry.entities.comp.UnitComp.killed(),2,1,2,3
mindustry.entities.comp.UnitComp.landed(),1,1,2,2
mindustry.entities.comp.UnitComp.lookAt(Position),0,1,1,1
mindustry.entities.comp.UnitComp.lookAt(float),0,1,1,1
"mindustry.entities.comp.UnitComp.lookAt(float, float)",0,1,1,1
mindustry.entities.comp.UnitComp.moveAt(Vec2),0,1,1,1
"mindustry.entities.comp.UnitComp.moveAt(Vec2, float)",0,1,1,1
mindustry.entities.comp.UnitComp.movePref(Vec2),2,1,2,2
mindustry.entities.comp.UnitComp.physicSize(),0,1,1,1
mindustry.entities.comp.UnitComp.playerControllable(),2,1,1,4
mindustry.entities.comp.UnitComp.prefRotation(),5,4,6,6
mindustry.entities.comp.UnitComp.range(),0,1,1,1
mindustry.entities.comp.UnitComp.remove(),4,1,3,4
mindustry.entities.comp.UnitComp.resetController(),0,1,1,1
mindustry.entities.comp.UnitComp.rotateMove(Vec2),1,1,2,2
mindustry.entities.comp.UnitComp.sense(Content),15,4,8,10
mindustry.entities.comp.UnitComp.sense(LAccess),58,1,33,61
mindustry.entities.comp.UnitComp.senseObject(LAccess),24,1,9,14
"mindustry.entities.comp.UnitComp.set(UnitType, UnitController)",1,1,2,2
"mindustry.entities.comp.UnitComp.setProp(LAccess, Object)",29,1,15,15
"mindustry.entities.comp.UnitComp.setProp(LAccess, double)",13,1,13,18
"mindustry.entities.comp.UnitComp.setProp(UnlockableContent, double)",1,1,2,2
mindustry.entities.comp.UnitComp.setType(UnitType),5,1,5,5
mindustry.entities.comp.UnitComp.shouldUpdateController(),0,1,1,1
mindustry.entities.comp.UnitComp.speed(),3,1,3,4
mindustry.entities.comp.UnitComp.targetable(Team),0,1,1,1
mindustry.entities.comp.UnitComp.toString(),0,1,1,1
mindustry.entities.comp.UnitComp.unloaded(),0,1,1,1
mindustry.entities.comp.UnitComp.update(),93,1,55,71
mindustry.entities.comp.UnitComp.updateBoosting(boolean),5,2,5,7
mindustry.entities.comp.UnitComp.updateDrowning(),8,1,8,8
mindustry.entities.comp.UnitComp.wobble(),0,1,1,1
mindustry.entities.comp.UnitTetherComp.afterRead(),1,1,2,2
mindustry.entities.comp.UnitTetherComp.afterSync(),1,1,2,2
mindustry.entities.comp.UnitTetherComp.update(),3,1,4,4
"mindustry.entities.comp.VelComp.canPass(int, int)",1,1,2,2
mindustry.entities.comp.VelComp.canPassOn(),0,1,1,1
mindustry.entities.comp.VelComp.ignoreSolids(),0,1,1,1
mindustry.entities.comp.VelComp.move(Vec2),0,1,1,1
"mindustry.entities.comp.VelComp.move(float, float)",2,1,2,2
mindustry.entities.comp.VelComp.moving(),0,1,1,1
mindustry.entities.comp.VelComp.solidity(),0,1,1,1
mindustry.entities.comp.VelComp.update(),6,1,3,5
mindustry.entities.comp.VelComp.velAddNet(Vec2),1,1,1,2
"mindustry.entities.comp.VelComp.velAddNet(float, float)",1,1,1,2
mindustry.entities.comp.WaterCrawlComp.floorSpeedMultiplier(),2,1,2,3
mindustry.entities.comp.WaterCrawlComp.onLiquid(),1,1,2,2
mindustry.entities.comp.WaterCrawlComp.onSolid(),0,1,1,1
mindustry.entities.comp.WaterCrawlComp.solidity(),2,1,2,3
mindustry.entities.comp.WaterMoveComp.add(),0,1,1,1
mindustry.entities.comp.WaterMoveComp.draw(),2,1,2,3
mindustry.entities.comp.WaterMoveComp.floorSpeedMultiplier(),2,1,2,3
mindustry.entities.comp.WaterMoveComp.onLiquid(),1,1,2,2
mindustry.entities.comp.WaterMoveComp.onSolid(),0,1,1,1
mindustry.entities.comp.WaterMoveComp.solidity(),2,1,2,3
mindustry.entities.comp.WaterMoveComp.update(),8,1,3,6
mindustry.entities.comp.WeaponsComp.aim(Position),0,1,1,1
"mindustry.entities.comp.WeaponsComp.aim(float, float)",4,1,2,4
mindustry.entities.comp.WeaponsComp.ammof(),0,1,1,1
mindustry.entities.comp.WeaponsComp.canShoot(),0,1,1,1
mindustry.entities.comp.WeaponsComp.controlWeapons(boolean),0,1,1,1
"mindustry.entities.comp.WeaponsComp.controlWeapons(boolean, boolean)",3,1,1,3
mindustry.entities.comp.WeaponsComp.remove(),6,1,5,6
mindustry.entities.comp.WeaponsComp.setWeaponRotation(float),1,1,1,2
mindustry.entities.comp.WeaponsComp.setupWeapons(UnitType),1,1,2,2
mindustry.entities.comp.WeaponsComp.update(),1,1,2,2
mindustry.entities.comp.WorldLabelComp.clipSize(),0,1,1,1
mindustry.entities.comp.WorldLabelComp.draw(),3,1,1,3
"mindustry.entities.comp.WorldLabelComp.drawAt(String, float, float, float, int, float, int, ...)",12,1,5,11
mindustry.entities.comp.WorldLabelComp.hide(),0,1,1,1
mindustry.entities.effect.ExplosionEffect.ExplosionEffect(),2,1,2,2
mindustry.entities.effect.MultiEffect.MultiEffect(),0,1,1,1
mindustry.entities.effect.MultiEffect.MultiEffect(Effect...),0,1,1,1
"mindustry.entities.effect.MultiEffect.create(float, float, float, Color, Object)",2,2,2,3
mindustry.entities.effect.ParticleEffect.init(),1,1,1,2
mindustry.entities.effect.ParticleEffect.render(EffectContainer),18,1,11,11
mindustry.entities.effect.RadialEffect.RadialEffect(),0,1,1,1
"mindustry.entities.effect.RadialEffect.RadialEffect(Effect, int, float, float)",0,1,1,1
"mindustry.entities.effect.RadialEffect.RadialEffect(Effect, int, float, float, float)",0,1,1,1
"mindustry.entities.effect.RadialEffect.create(float, float, float, Color, Object)",2,2,2,3
mindustry.entities.effect.SeqEffect.SeqEffect(),0,1,1,1
mindustry.entities.effect.SeqEffect.SeqEffect(Effect...),0,1,1,1
mindustry.entities.effect.SeqEffect.init(),1,1,2,2
mindustry.entities.effect.SeqEffect.render(EffectContainer),3,3,3,3
mindustry.entities.effect.SoundEffect.SoundEffect(),0,1,1,1
"mindustry.entities.effect.SoundEffect.SoundEffect(Sound, Effect)",0,1,1,1
"mindustry.entities.effect.SoundEffect.create(float, float, float, Color, Object)",3,2,2,3
mindustry.entities.effect.SoundEffect.init(),1,1,1,2
mindustry.entities.effect.WaveEffect.init(),0,1,1,1
mindustry.entities.effect.WaveEffect.render(EffectContainer),2,1,3,3
mindustry.entities.effect.WrapEffect.WrapEffect(),0,1,1,1
"mindustry.entities.effect.WrapEffect.WrapEffect(Effect, Color)",0,1,1,1
"mindustry.entities.effect.WrapEffect.WrapEffect(Effect, Color, float)",0,1,1,1
"mindustry.entities.effect.WrapEffect.create(float, float, float, Color, Object)",0,1,1,1
mindustry.entities.effect.WrapEffect.init(),0,1,1,1
mindustry.entities.effect.WrapEffect.render(EffectContainer),0,1,1,1
mindustry.entities.part.DrawPart.PartMove.PartMove(),0,1,1,1
"mindustry.entities.part.DrawPart.PartMove.PartMove(PartProgress, float, float, float)",0,1,1,1
"mindustry.entities.part.DrawPart.PartMove.PartMove(PartProgress, float, float, float, float, float)",0,1,1,1
"mindustry.entities.part.DrawPart.PartParams.set(float, float, float, float, float, float, float, ...)",0,1,1,1
mindustry.entities.part.DrawPart.PartParams.setRecoil(float),0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.absin(float, float)",0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.add(PartProgress),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.add(float),0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.apply(PartProgress, PartFunc)",0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.blend(PartProgress, float)",0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.clamp(),0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.compress(float, float)",0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.constant(float),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.curve(Interp),0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.curve(float, float)",0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.delay(float),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.getClamp(PartParams),0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.getClamp(PartParams, boolean)",1,1,2,2
mindustry.entities.part.DrawPart.PartProgress.inv(),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.loop(float),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.min(PartProgress),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.mod(float),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.mul(PartProgress),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.mul(float),0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.shorten(float),0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.sin(float, float)",0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.sin(float, float, float)",0,1,1,1
mindustry.entities.part.DrawPart.PartProgress.slope(),0,1,1,1
"mindustry.entities.part.DrawPart.PartProgress.sustain(float, float, float)",0,1,1,1
mindustry.entities.part.DrawPart.getOutlines(Seq<TextureRegion>),0,1,1,1
mindustry.entities.part.DrawPart.load(String),0,1,1,1
mindustry.entities.part.EffectSpawnerPart.draw(PartParams),22,2,7,12
mindustry.entities.part.FlarePart.draw(PartParams),7,1,5,8
mindustry.entities.part.FlarePart.load(String),0,1,1,1
mindustry.entities.part.HaloPart.draw(PartParams),36,1,17,24
mindustry.entities.part.HaloPart.load(String),0,1,1,1
mindustry.entities.part.HoverPart.draw(PartParams),14,1,5,10
mindustry.entities.part.HoverPart.load(String),0,1,1,1
mindustry.entities.part.RegionPart.RegionPart(),0,1,1,1
mindustry.entities.part.RegionPart.RegionPart(String),0,1,1,1
"mindustry.entities.part.RegionPart.RegionPart(String, Blending, Color)",0,1,1,1
mindustry.entities.part.RegionPart.draw(PartParams),61,1,22,34
mindustry.entities.part.RegionPart.getOutlines(Seq<TextureRegion>),3,1,3,4
mindustry.entities.part.RegionPart.load(String),7,1,4,6
"mindustry.entities.part.RegionPart.rect(TextureRegion, float, float, float)",0,1,1,1
mindustry.entities.part.ShapePart.draw(PartParams),29,1,13,19
mindustry.entities.part.ShapePart.load(String),0,1,1,1
mindustry.entities.pattern.ShootAlternate.ShootAlternate(),0,1,1,1
mindustry.entities.pattern.ShootAlternate.ShootAlternate(float),0,1,1,1
mindustry.entities.pattern.ShootAlternate.flip(),0,1,1,1
"mindustry.entities.pattern.ShootAlternate.shoot(int, BulletHandler, Runnable)",3,1,3,3
mindustry.entities.pattern.ShootBarrel.flip(),1,1,1,2
"mindustry.entities.pattern.ShootBarrel.shoot(int, BulletHandler, Runnable)",3,1,3,3
mindustry.entities.pattern.ShootHelix.ShootHelix(),0,1,1,1
"mindustry.entities.pattern.ShootHelix.ShootHelix(float, float)",0,1,1,1
"mindustry.entities.pattern.ShootHelix.ShootHelix(float, float, float)",0,1,1,1
"mindustry.entities.pattern.ShootHelix.shoot(int, BulletHandler, Runnable)",3,1,3,3
mindustry.entities.pattern.ShootMulti.ShootMulti(),0,1,1,1
"mindustry.entities.pattern.ShootMulti.ShootMulti(ShootPattern, ShootPattern...)",0,1,1,1
mindustry.entities.pattern.ShootMulti.flip(),1,1,2,2
"mindustry.entities.pattern.ShootMulti.shoot(int, BulletHandler, Runnable)",19,1,5,6
"mindustry.entities.pattern.ShootPattern.BulletHandler.shoot(float, float, float, float)",0,1,1,1
mindustry.entities.pattern.ShootPattern.copy(),1,1,1,2
mindustry.entities.pattern.ShootPattern.flip(),0,1,1,1
"mindustry.entities.pattern.ShootPattern.shoot(int, BulletHandler)",1,1,2,2
"mindustry.entities.pattern.ShootPattern.shoot(int, BulletHandler, Runnable)",0,1,1,1
mindustry.entities.pattern.ShootSine.ShootSine(),0,1,1,1
"mindustry.entities.pattern.ShootSine.ShootSine(float, float)",0,1,1,1
"mindustry.entities.pattern.ShootSine.shoot(int, BulletHandler, Runnable)",1,1,2,2
mindustry.entities.pattern.ShootSpread.ShootSpread(),0,1,1,1
"mindustry.entities.pattern.ShootSpread.ShootSpread(int, float)",0,1,1,1
mindustry.entities.pattern.ShootSpread.circle(int),0,1,1,1
"mindustry.entities.pattern.ShootSpread.shoot(int, BulletHandler, Runnable)",1,1,2,2
mindustry.entities.pattern.ShootSummon.ShootSummon(),0,1,1,1
"mindustry.entities.pattern.ShootSummon.ShootSummon(float, float, float, float)",0,1,1,1
"mindustry.entities.pattern.ShootSummon.shoot(int, BulletHandler, Runnable)",1,1,2,2
mindustry.entities.units.AIController.afterRead(Unit),0,1,1,1
mindustry.entities.units.AIController.alterPathfind(Vec2),0,1,1,1
"mindustry.entities.units.AIController.checkTarget(Teamc, float, float, float)",0,1,1,1
"mindustry.entities.units.AIController.circle(Position, float)",0,1,1,1
"mindustry.entities.units.AIController.circle(Position, float, float)",2,2,2,3
mindustry.entities.units.AIController.circleAttack(float),3,1,3,3
mindustry.entities.units.AIController.commandPosition(Vec2),0,1,1,1
mindustry.entities.units.AIController.commandTarget(Teamc),0,1,1,1
mindustry.entities.units.AIController.faceMovement(),3,1,3,4
mindustry.entities.units.AIController.faceTarget(),6,1,6,7
mindustry.entities.units.AIController.fallback(),0,1,1,1
"mindustry.entities.units.AIController.findMainTarget(float, float, float, boolean, boolean)",0,1,1,1
"mindustry.entities.units.AIController.findTarget(float, float, float, boolean, boolean)",0,1,1,1
mindustry.entities.units.AIController.getClosestSpawner(),0,1,1,1
mindustry.entities.units.AIController.init(),0,1,1,1
mindustry.entities.units.AIController.invalid(Teamc),0,1,1,1
mindustry.entities.units.AIController.isLogicControllable(),0,1,1,1
mindustry.entities.units.AIController.keepState(),0,1,1,1
"mindustry.entities.units.AIController.moveTo(Position, float)",0,1,1,1
"mindustry.entities.units.AIController.moveTo(Position, float, float)",0,1,1,1
"mindustry.entities.units.AIController.moveTo(Position, float, float, boolean, Vec2)",0,1,1,1
"mindustry.entities.units.AIController.moveTo(Position, float, float, boolean, Vec2, boolean)",16,3,11,14
mindustry.entities.units.AIController.pathfind(int),0,1,1,1
"mindustry.entities.units.AIController.pathfind(int, boolean)",0,1,1,1
"mindustry.entities.units.AIController.pathfind(int, boolean, boolean)",6,3,3,7
mindustry.entities.units.AIController.prefSpeed(),0,1,1,1
mindustry.entities.units.AIController.resetTimers(),0,1,1,1
mindustry.entities.units.AIController.retarget(),1,1,1,2
mindustry.entities.units.AIController.shouldFire(),0,1,1,1
mindustry.entities.units.AIController.shouldShoot(),0,1,1,1
mindustry.entities.units.AIController.stanceChanged(),0,1,1,1
mindustry.entities.units.AIController.stopShooting(),1,1,1,2
"mindustry.entities.units.AIController.target(float, float, float, boolean, boolean)",2,1,1,3
"mindustry.entities.units.AIController.targetFlag(float, float, BlockFlag, boolean)",2,2,2,3
mindustry.entities.units.AIController.targetInvalidated(),0,1,1,1
mindustry.entities.units.AIController.unit(),0,1,1,1
mindustry.entities.units.AIController.unit(Unit),1,2,1,2
mindustry.entities.units.AIController.unloadPayloads(),4,1,6,6
mindustry.entities.units.AIController.updateMovement(),0,1,1,1
mindustry.entities.units.AIController.updateTargeting(),1,1,2,2
mindustry.entities.units.AIController.updateUnit(),5,2,5,5
mindustry.entities.units.AIController.updateVisuals(),3,1,3,3
mindustry.entities.units.AIController.updateWeapons(),43,4,19,26
mindustry.entities.units.AIController.useFallback(),0,1,1,1
mindustry.entities.units.BuildPlan.BuildPlan(),0,1,1,1
"mindustry.entities.units.BuildPlan.BuildPlan(int, int)",0,1,1,1
"mindustry.entities.units.BuildPlan.BuildPlan(int, int, int, Block)",1,1,2,2
"mindustry.entities.units.BuildPlan.BuildPlan(int, int, int, Block, Object)",1,1,2,2
mindustry.entities.units.BuildPlan.bounds(Rect),2,2,2,2
mindustry.entities.units.BuildPlan.build(),0,1,1,1
mindustry.entities.units.BuildPlan.copy(),0,1,1,1
mindustry.entities.units.BuildPlan.drawx(),1,1,1,2
mindustry.entities.units.BuildPlan.drawy(),1,1,1,2
mindustry.entities.units.BuildPlan.getX(),0,1,1,1
mindustry.entities.units.BuildPlan.getY(),0,1,1,1
mindustry.entities.units.BuildPlan.hitbox(Rect),2,1,2,2
mindustry.entities.units.BuildPlan.isDerelictRepair(),3,2,4,6
mindustry.entities.units.BuildPlan.isDone(),6,3,3,6
mindustry.entities.units.BuildPlan.isRotation(Team),2,2,5,6
mindustry.entities.units.BuildPlan.placeable(Team),0,1,1,1
"mindustry.entities.units.BuildPlan.pointConfig(Block, Object, Cons<Point2>)",5,1,5,5
mindustry.entities.units.BuildPlan.pointConfig(Cons<Point2>),0,1,1,1
mindustry.entities.units.BuildPlan.samePos(BuildPlan),1,1,1,2
"mindustry.entities.units.BuildPlan.set(int, int, int, Block)",1,1,2,2
mindustry.entities.units.BuildPlan.tile(),0,1,1,1
mindustry.entities.units.BuildPlan.toString(),0,1,1,1
"mindustry.entities.units.StatusEntry.set(StatusEffect, float)",0,1,1,1
mindustry.entities.units.UnitController.afterRead(Unit),0,1,1,1
mindustry.entities.units.UnitController.hit(Bullet),0,1,1,1
mindustry.entities.units.UnitController.isLogicControllable(),0,1,1,1
mindustry.entities.units.UnitController.isValidController(),0,1,1,1
mindustry.entities.units.UnitController.removed(Unit),0,1,1,1
mindustry.entities.units.UnitController.updateUnit(),0,1,1,1
mindustry.entities.units.WeaponMount.WeaponMount(Weapon),0,1,1,1
"mindustry.game.AttackIndicators.add(int, int)",2,1,2,2
mindustry.game.AttackIndicators.clear(),0,1,1,1
mindustry.game.AttackIndicators.list(),0,1,1,1
mindustry.game.AttackIndicators.update(),6,1,4,4
"mindustry.game.CampaignRules.apply(Planet, Rules)",10,1,6,7
"mindustry.game.Difficulty.Difficulty(float, float, float)",0,1,1,1
mindustry.game.Difficulty.info(),4,1,5,5
mindustry.game.Difficulty.localized(),0,1,1,1
mindustry.game.Difficulty.percentStat(float),1,1,1,2
mindustry.game.Difficulty.percentStatNeg(float),1,1,1,2
"mindustry.game.EventType.AdminRequestEvent.AdminRequestEvent(Player, Player, AdminAction)",0,1,1,1
"mindustry.game.EventType.BlockBuildBeginEvent.BlockBuildBeginEvent(Tile, Team, Unit, boolean)",0,1,1,1
"mindustry.game.EventType.BlockBuildEndEvent.BlockBuildEndEvent(Tile, Unit, Team, boolean, Object)",0,1,1,1
mindustry.game.EventType.BlockDestroyEvent.BlockDestroyEvent(Tile),0,1,1,1
"mindustry.game.EventType.BuildDamageEvent.set(Building, Bullet)",0,1,1,1
"mindustry.game.EventType.BuildRotateEvent.BuildRotateEvent(Building, Unit, int)",0,1,1,1
"mindustry.game.EventType.BuildSelectEvent.BuildSelectEvent(Tile, Team, Unit, boolean)",0,1,1,1
"mindustry.game.EventType.BuildTeamChangeEvent.set(Team, Building)",0,1,1,1
mindustry.game.EventType.BuildingBulletDestroyEvent.BuildingBulletDestroyEvent(),0,1,1,1
"mindustry.game.EventType.BuildingBulletDestroyEvent.BuildingBulletDestroyEvent(Building, Bullet)",0,1,1,1
"mindustry.game.EventType.BuildingCommandEvent.BuildingCommandEvent(Player, Building, Vec2)",0,1,1,1
mindustry.game.EventType.ClientChatEvent.ClientChatEvent(String),0,1,1,1
mindustry.game.EventType.ClientPreConnectEvent.ClientPreConnectEvent(Host),0,1,1,1
"mindustry.game.EventType.ClientServerConnectEvent.ClientServerConnectEvent(String, int)",0,1,1,1
"mindustry.game.EventType.ConfigEvent.ConfigEvent(Building, Player, Object)",0,1,1,1
"mindustry.game.EventType.ConnectPacketEvent.ConnectPacketEvent(NetConnection, ConnectPacket)",0,1,1,1
mindustry.game.EventType.ConnectionEvent.ConnectionEvent(NetConnection),0,1,1,1
mindustry.game.EventType.CoreChangeEvent.CoreChangeEvent(CoreBuild),0,1,1,1
"mindustry.game.EventType.DepositEvent.DepositEvent(Building, Player, Item, int)",0,1,1,1
mindustry.game.EventType.GameOverEvent.GameOverEvent(Team),0,1,1,1
mindustry.game.EventType.GeneratorPressureExplodeEvent.GeneratorPressureExplodeEvent(Building),0,1,1,1
mindustry.game.EventType.LaunchItemEvent.LaunchItemEvent(ItemStack),0,1,1,1
"mindustry.game.EventType.MenuOptionChooseEvent.MenuOptionChooseEvent(Player, int, int)",0,1,1,1
"mindustry.game.EventType.PayloadDropEvent.PayloadDropEvent(Unit, Building)",0,1,1,1
"mindustry.game.EventType.PayloadDropEvent.PayloadDropEvent(Unit, Unit)",0,1,1,1
"mindustry.game.EventType.PickupEvent.PickupEvent(Unit, Building)",0,1,1,1
"mindustry.game.EventType.PickupEvent.PickupEvent(Unit, Unit)",0,1,1,1
"mindustry.game.EventType.PlayerBanEvent.PlayerBanEvent(Player, String)",0,1,1,1
"mindustry.game.EventType.PlayerChatEvent.PlayerChatEvent(Player, String)",0,1,1,1
